,ECMWF,UKMO,METEO_FRANCE,DWD,CMCC,NCEP,JMA,ECCC_CanCM4i,ECCC_GEM5_NEMO
2017-01,51.0,,25,30,,,,10.0,10.0
2017-02,51.0,,25,30,,,10.0,10.0,10.0
2017-03,51.0,,25,30,,,,10.0,10.0
2017-04,51.0,,25,30,,,,10.0,10.0
2017-05,51.0,,25,30,,,,10.0,10.0
2017-06,51.0,,25,30,,,,10.0,10.0
2017-07,51.0,,25,30,,,,10.0,10.0
2017-08,51.0,,25,30,,,,10.0,10.0
2017-09,51.0,50.0,25,30,,,,10.0,10.0
2017-10,,50.0,25,30,,,,10.0,10.0
2017-11,51.0,50.0,25,30,,,,10.0,10.0
2017-12,51.0,50.0,25,30,,,,10.0,10.0
2018-01,51.0,50.0,25,30,,,,10.0,10.0
2018-02,51.0,50.0,25,30,,,10.0,10.0,10.0
2018-03,51.0,50.0,25,30,,,,10.0,10.0
2018-04,51.0,50.0,25,30,,,,10.0,10.0
2018-05,51.0,50.0,25,30,,,,10.0,10.0
2018-06,51.0,50.0,25,30,,,,10.0,10.0
2018-07,51.0,50.0,25,30,,,,10.0,10.0
2018-08,51.0,50.0,25,30,,,,10.0,10.0
2018-09,51.0,50.0,25,30,,,,10.0,10.0
2018-10,51.0,50.0,25,30,,,,10.0,10.0
2018-11,51.0,62.0,25,30,50.0,,,10.0,10.0
2018-12,51.0,60.0,25,30,50.0,,,10.0,10.0
2019-01,51.0,62.0,51,30,50.0,,,10.0,10.0
2019-02,51.0,62.0,51,30,50.0,,10.0,10.0,10.0
2019-03,51.0,56.0,51,30,50.0,,,10.0,10.0
2019-04,51.0,62.0,51,30,50.0,,,10.0,10.0
2019-05,51.0,60.0,51,30,50.0,,,10.0,10.0
2019-06,51.0,62.0,51,30,50.0,,,10.0,10.0
2019-07,51.0,60.0,51,30,50.0,,,10.0,10.0
2019-08,51.0,62.0,51,30,50.0,,,10.0,10.0
2019-09,51.0,62.0,51,30,50.0,,,10.0,10.0
2019-10,51.0,60.0,51,30,50.0,120.0,,10.0,10.0
2019-11,51.0,62.0,51,30,50.0,124.0,,10.0,10.0
2019-12,51.0,60.0,51,30,50.0,120.0,,10.0,10.0
2020-01,51.0,62.0,51,50,50.0,124.0,,10.0,10.0
2020-02,51.0,62.0,51,50,50.0,124.0,10.0,10.0,10.0
2020-03,51.0,58.0,51,50,50.0,116.0,,10.0,10.0
2020-04,51.0,62.0,51,50,50.0,124.0,,10.0,10.0
2020-05,51.0,60.0,51,50,50.0,120.0,,10.0,10.0
2020-06,51.0,62.0,51,50,50.0,124.0,,10.0,10.0
2020-07,51.0,60.0,51,50,50.0,120.0,,10.0,10.0
2020-08,51.0,62.0,51,50,50.0,124.0,,10.0,10.0
2020-09,51.0,62.0,51,50,50.0,124.0,,10.0,10.0
2020-10,51.0,60.0,51,50,50.0,120.0,78.0,10.0,10.0
2020-11,51.0,62.0,51,50,50.0,124.0,78.0,10.0,10.0
2020-12,51.0,60.0,51,50,50.0,120.0,78.0,10.0,10.0
2021-01,51.0,62.0,51,50,50.0,124.0,91.0,,
2021-02,51.0,,51,50,50.0,124.0,78.0,,
2021-03,51.0,52.0,51,50,50.0,112.0,65.0,,
2021-04,51.0,62.0,51,50,50.0,124.0,91.0,,
2021-05,51.0,60.0,51,50,50.0,120.0,78.0,10.0,
2021-06,51.0,62.0,51,50,50.0,124.0,78.0,10.0,
2021-07,51.0,60.0,51,50,50.0,120.0,78.0,10.0,
2021-08,51.0,62.0,51,50,50.0,124.0,78.0,10.0,
2021-09,51.0,62.0,51,50,50.0,124.0,78.0,10.0,
2021-10,51.0,60.0,51,50,50.0,120.0,78.0,10.0,
2021-11,51.0,62.0,51,50,50.0,124.0,78.0,10.0,
2021-12,51.0,60.0,51,50,50.0,120.0,78.0,10.0,10.0
2022-01,51.0,62.0,51,50,50.0,120.0,91.0,10.0,10.0
2022-02,51.0,62.0,51,50,50.0,124.0,105.0,10.0,10.0
2022-03,51.0,56.0,51,50,50.0,112.0,140.0,10.0,10.0
2022-04,51.0,62.0,51,50,50.0,124.0,155.0,10.0,10.0
2022-05,51.0,60.0,51,50,50.0,120.0,150.0,10.0,10.0
2022-06,51.0,62.0,51,50,50.0,124.0,155.0,10.0,10.0
2022-07,51.0,60.0,51,50,50.0,120.0,150.0,10.0,10.0
2022-08,51.0,62.0,51,50,50.0,124.0,155.0,10.0,10.0
2022-09,51.0,62.0,51,50,50.0,120.0,155.0,10.0,10.0
2022-10,51.0,60.0,51,50,50.0,120.0,150.0,10.0,10.0
2022-11,51.0,62.0,51,50,50.0,124.0,155.0,10.0,10.0
2022-12,51.0,60.0,51,50,50.0,120.0,150.0,10.0,10.0
2023-01,51.0,62.0,51,50,50.0,124.0,155.0,10.0,10.0
2023-02,51.0,62.0,51,50,50.0,124.0,155.0,10.0,10.0
